library district of the United States,Population served
"Los Angeles Public Library, CA",3825297
"New York Public Library, The Branch Libraries, NY",3439711
"County of Los Angeles Public Library, CA",3344311
"Chicago Public Library, IL",2695598
"Brooklyn Public Library, NY",2504700
"Queens Borough Public Library, NY",2230722
"Miami-Dade Public Library System, FL",2196303
"Houston Public Library, TX",2145146
"Harris County Public Library, TX",1795998
"Broward County Libraries Division, FL",1771099
"San Antonio Public Library, TX",1626092
"Orange County Public Libraries, CA",1534312
"Free Library of Philadelphia, PA",1526006
"Phoenix Public Library, AZ",1464727
"Las Vegas-Clark County Library District, NV",1463675
"Hawaii State Public Library System, HI",1374810
"King County Library System, WA",1362870
"Sacramento Public Library, CA",1362428
"San Diego Public Library, CA",1321315
"Hillsborough County Public Library Cooperative, FL",1256118
"Dallas Public Library, TX",1223229
"San Bernadino County Library, CA",1200798
"Riverside County Library System, CA",1171366
"Hennepin County Library, MN",1163060
"Orange County Library District, FL",1132302
