business,Number of employees
A.P. Møller – Mærsk A/S,75813
Danske Bank A/S,19768
Per Aarsleff A/S,1000
Cowi A/S,1000
CRH Concrete A/S,1000
Ncc Danmark A/S,1000
Linak A/S,1000
Pricewaterhousecoopers Statsautoriseret Revisionspartnerselskab,1000
Elgiganten A/S,1000
DSB,1000
Bravida Danmark A/S,1000
TDC A/S,1000
Novasol A/S,1000
Harald Nyborg A/S,1000
Chr. Hansen A/S,1000
Scandic Hotel A/S,1000
Dupont Nutrition Biosciences ApS,1000
Allianceplus A/S,1000
Københavns Lufthavne A/S,1000
Forenede Service A/S,1000
