Country,Ranking points
Belgium,1765
France,1752
Brazil,1725
England,1669
Portugal,1661
Spain,1639
Uruguay,1637
Argentina,1636
Croatia,1634
Colombia,1631
Mexico,1625
Italy,1612
Denmark,1610
Germany,1607
Netherlands,1596
Switzerland,1589
Chile,1570
Poland,1568
Sweden,1558
Wales,1550
Senegal,1549
USA,1542
Ukraine,1539
Peru,1533
Austria,1523
Tunisia,1507
Japan,1503
Venezuela,1493
Iran,1492
Serbia,1489
Algeria,1489
Nigeria,1488
Turkey,1486
Russia,1480
Paraguay,1476
Republic of Ireland,1467
Slovakia,1466
Korea Republic,1464
Morocco,1461
Iceland,1461
Northern Ireland,1458
Australia,1457
Norway,1456
Romania,1455
Scotland,1446
Czech Republic,1446
Hungary,1439
Ghana,1438
Jamaica,1438
Costa Rica,1427
