state of India,Number of registered cars in thousands
Maharashtra,3715.74
Delhi,3061.82
Gujarat,2527.54
Kerala,2386.0
Tamil Nadu,2315.77
Karnataka,2110.49
Uttar Pradesh,2027.97
Haryana,1851.79
Telangana,1081.63
Rajasthan,988.39
West Bengal,961.37
Madhya Pradesh,869.78
Assam,620.2
Andhra Pradesh,545.71
Chandigarh,469.67
Jammu and Kashmir,421.39
Uttarakhand,385.45
Jharkhand,352.51
Odisha,350.23
Himachal Pradesh,318.24
Bihar,300.08
Chhattisgarh,282.06
Goa,251.03
Puducherry,91.08
Meghalaya,81.08
Nagaland,74.56
Arunachal Pradesh,57.55
Manipur,52.12
Tripura,41.62
Dadra and Nagar Haveli,30.34
Mizoram,26.87
Daman and Diu,24.77
Sikkim,18.66
Lakshadweep,0.16
