metropolitan area,GDP growth
"Atlanta - Sandy Springs - Marietta, GA",-3.6%
"Las Vegas - Paradise, NV",-3.6%
"San Jose - Sunnyvale - Santa Clara, CA",-3.7%
"Tampa - St. Petersburg - Clearwater, FL",-3.7%
"Charlotte - Gastonia - Concord, NC-SC",-3.8%
"Santa Rosa - Petaluma, CA",-4.1%
"Oxnard - Thousand Oaks - Ventura, CA",-4.3%
"Cleveland - Elyria - Mentor, OH",-4.3%
"Phoenix - Mesa - Scottsdale, AZ",-4.4%
"Toledo, OH",-4.8%
"Reno - Sparks, NV",-5.5%
"Boise City - Nampa, ID",-5.6%
"Sarasota - Bradenton - Venice, FL",-5.7%
"Cape Coral - Fort Myers, FL",-5.9%
"Detroit - Warren - Livonia, MI",-5.9%
