Year,GDP per capita in U.S. dollars
2025*,4612.79
2024*,4361.5
2023*,4123.9
2022*,3870.29
2021*,3618.18
2020*,3321.92
2019*,3566.42
2018*,3565.5
2017,3368.76
2016,3094.99
2015,3050.65
2014,3096.84
2013,2886.41
2012,2605.19
2011,2255.5
2010,1896.24
2009,1711.42
2008,1695.45
2007,1344.7
2006,1199.58
2005,1049.06
2004,979.59
2003,918.47
2002,914.96
2001,959.84
2000,1005.41
1999,1010.58
1998,1057.72
1997,1005.87
1996,955.57
1995,885.68
1994,804.71
1993,795.05
1992,804.74
1991,777.89
1990,723.42
1989,715.53
1988,712.15
1987,683.62
1986,640.94
1985,668.92
