university,Reputation score
Harvard University (US),100.0
Massachusetts Institute of Technology (US),87.5
Stanford University (US),78.1
University of Cambridge (UK),75.2
University of Oxford (UK),74.0
"University of California, Berkeley (US)",59.1
Princeton University (US),38.2
Yale University (US),34.8
"University of California, Los Angeles (US)",29.7
University of Tokyo (Japan),28.3
California Institute of Technology (US),28.1
University of Chicago (US),26.0
Tsinghua University (China),23.6
Columbia University (US),23.4
University of Michigan-Ann Arbor (US),20.6
Peking University (China),19.6
ETH Zurich (Switzerland),18.2
UCL (UK),17.5
Johns Hopkins University (US),16.9
University of Toronto (Canada),16.7
