Response,Share of respondents
Physical violence,55%
Sexual harassment,54%
Sexual violence,52%
Domestic abuse,21%
Equal pay,15%
Workplace discrimination,15%
Sexualization of women and girls in the media,14%
Lack of women in leadership roles in business and public life,9%
Gender stereotyping,8%
"The amount of unpaid work that women do (e.g. cooking, cleaning, childcare)",7%
Access to employment,6%
Balancing work and caring responsibilities,5%
Abuse on social media,5%
Support for pregnant women and new mothers,5%
Lack of financial/economic independence,4%
