State,Number of facilities
California,419
New York,252
Flordia,85
New Jersey,76
Connecticut,54
Washington,51
Massachusetts,47
Maryland,44
Pennsylvania,43
Illinois,40
Texas,35
Colorado,32
Virginia,32
Michigan,30
Oregon,29
Hawaii,28
Gerogia,26
North Carolina,26
Maine,21
Ohio,14
Utah,12
New Hampshire,12
Tennessee,12
Arizona,11
Nevada,11
Minnesota,11
Vermont,10
South Carolina,10
Iowa,9
Indiana,9
District of Columbia,8
New Mexico,7
Alabama,7
Nebraska,7
Delaware,6
Wisconsin,6
Alaska,6
Oklahoma,6
Idaho,5
Montana,5
Kansas,4
Louisiana,4
Arkansas,4
Missouri,4
Mississippi,3
Kentucky,3
Rhode Island,3
West Virginia,3
South Dakota,2
Wyoming,2
North Dakota,1
