Settlement,Number of confirmed cases
Banja Luka,575
Maglaj,145
Sarajevo,97
Čitluk,96
Mostar,93
Laktaši,79
Široki Brijeg,60
Bosanska Gradiška,56
Tuzla,48
Doboj,48
Kotor Varoš,48
Prijedor,44
Cazin,43
Bihać,41
Zenica,40
Teslić,39
Livno,35
Gacko,35
Derventa,34
Prnjavor,33
Kneževo,30
Konjic,29
Čelinac,27
Zavidovići,23
Trebinje,23
Bosanski Brod,23
Nevesinje,22
Mrkonjić Grad,21
Čapljina,21
Goražde,21
Brčko,20
Žepče,20
Kozarska Dubica,20
Oštra Luka,19
Srebrenik,16
Modriča,14
Grude,14
Bosanski Petrovac,13
Šipovo,13
Srbac,12
Jablanica,12
Bijeljina,12
Travnik,11
Tešanj,9
Gornji Vakuf - Uskoplje,9
Vitez,7
Kalinovik,7
Živinice,7
Ribnik,7
Sapna,7
Istočna Ilidža,6
Novi Travnik,6
Hadžići,6
Pale,5
Bosanska Krupa,5
Ilijaš,4
Bugojno,4
Sanski Most,4
Zvornik,4
Posušje,4
Bosanski Šamac,4
Lukavac,3
Kakanj,3
Velika Kladuša,3
Tomislavgrad,3
Bosanski Novi,3
Orašje,2
Visoko,2
Osmaci,2
Gračanica,2
Doboj Jug,2
Kiseljak,2
Istočno Sarajevo,2
Foča,2
Ugljevik,2
Odžak,1
Banovići,1
Srebrenica,1
Ljubuški,1
Vareš,1
Šekovići,1
Milići,1
Bileća,1
Kalesija,1
Breza,1
Sokolac,1
Stolac,1
Donji Vakuf,1
Krupa na Uni,1
Ljubinje,1
Petrovo,1
Vukosavlje,1
Bosanska Kostajnica,1
Gradačac,1
