Month,Number of patients under ventilator
Dec 20,313
Dec 19,315
Dec 18,336
Dec 17,357
Dec 16,376
Dec 15,387
Dec 14,393
Dec 13,396
Dec 12,407
Dec 11,413
Dec 10,412
Dec 9,444
Dec 8,448
Dec 7,474
Dec 6,480
Dec 5,495
Dec 4,516
Dec 3,507
Dec 2,535
Dec 1,555
Nov 30,566
Nov 29,582
Nov 28,597
Nov 27,638
Nov 26,671
Nov 25,709
Nov 24,720
Nov 23,775
Nov 22,760
Nov 21,799
Nov 20,815
Nov 19,837
Nov 18,887
Nov 17,885
Nov 16,895
Nov 15,900
Nov 14,876
Nov 13,903
Nov 12,907
Nov 11,898
Nov 10,885
Nov 9,881
Nov 8,888
Nov 7,879
Nov 6,826
Nov 5,814
Nov 4,792
Nov 3,751
Nov 2,697
Nov 1,671
Oct 31,633
Oct 30,599
Oct 29,557
Oct 28,541
Oct 27,484
Oct 26,444
Oct 25,383
Oct 24,371
Oct 23,328
Oct 22,289
Oct 21,272
Oct 20,248
Oct 19,209
Oct 18,195
Oct 17,184
Oct 16,172
Oct 15,167
Oct 14,160
Oct 13,142
Oct 12,126
Oct 11,109
Oct 10,98
Oct 9,97
Oct 8,96
Oct 7,94
Oct 6,85
Oct 5,83
Oct 4,77
Oct 3,79
Oct 2,72
Oct 1,71
Sep 30,75
Sep 29,73
Sep 28,71
Sep 27,63
Sep 26,60
Sep 25,55
Sep 24,57
Sep 23,52
Sep 22,48
Sep 21,46
Sep 20,40
Sep 19,44
Sep 18,44
Sep 17,39
Sep 16,39
Sep 15,34
Sep 14,35
Sep 13,33
Sep 12,30
Sep 11,32
Sep 10,28
Sep 9,33
Sep 8,35
Sep 7,34
Sep 6,36
Sep 5,38
Sep 4,37
Sep 3,37
Sep 2,39
Sep 1,38
Aug 31,37
Aug 30,39
Aug 29,42
Aug 28,44
Aug 27,42
Aug 26,40
Aug 25,45
Aug 24,45
Aug 23,44
Aug 22,47
Aug 21,47
Aug 20,50
Aug 19,48
Aug18,48
Aug 17,45
Aug 16,48
Aug 15,43
Aug 14,45
Aug 13,42
Aug 12,40
Aug 11,38
Aug 10,42
Aug 9,34
Aug 8,34
Aug 7,37
Aug 6,32
Aug 5,29
Aug 4,30
Aug 3,32
Aug 2,31
Aug 1,29
Jul 31,27
Jul 30,23
Jul 29,24
Jul 28,22
Jul 27,22
Jul 26,22
Jul 25,20
Jul 24,19
Jul 23,15
Jul 22,18
Jul 21,15
Jul 20,17
Jul 19,15
Jul 18,19
Jul 17,18
Jul 16,17
Jul 15,17
Jul 14,17
Jul 13,14
Jul 12,12
Jul 11,15
Jul 10,15
Jul 9,16
Jul 8,15
Jul 7,15
Jul 6,15
Jul 5,15
Jul 4,14
Jul 3,13
Jul 2,13
Jul 1,14
Jun 30,18
Jun 29,18
Jun 28,17
Jun 27,16
Jun 26,18
Jun 25,20
Jun 24,21
Jun 23,24
Jun 22,20
Jun 21,25
Jun 20,28
Jun 19,27
Jun 18,27
Jun 17,26
Jun 16,31
Jun 15,37
Jun 14,43
Jun 13,44
Jun 12,43
Jun 11,46
Jun 10,52
Jun 9,57
Jun 8,66
Jun 7,70
Jun 6,69
Jun 5,71
Jun 4,73
Jun 3,74
Jun 2,79
Jun 1,86
May 31,83
May 30,84
May 29,85
May 28,90
May 27,101
May 26,114
May 25,129
May 24,134
May 23,143
May 22,149
May 21,147
May 20,154
May 19,169
May 18,191
May 17,190
May 16,198
May 15,219
May 14,231
May 13,239
May 12,270
May 11,282
May 10,296
May 9,295
May 8,328
May 7,339
May 6,359
May 5,367
May 4,387
May 3,401
May 2,426
May 1,452
Apr 30,491
Apr 29,517
Apr 28,534
Apr 27,566
Apr 26,600
Apr 25,620
Apr 24,635
Apr 23,681
Apr 22,703
Apr 21,733
Apr 20,777
Apr 19,760
Apr 18,781
Apr 17,809
Apr 16,846
Apr 15,868
Apr 14,889
Apr 13,915
Apr 12,940
Apr 11,931
Apr 10,981
Apr 9,993
Apr 8,994
Apr 7,1008
Apr 6,999
Apr 5,1013
Apr 4,1002
Apr 3,985
Apr 2,916
Apr 1,906
Mar 31,834
Mar 30,786
Mar 29,709
Mar 28,656
Mar 27,579
Mar 26,498
Mar 25,422
Mar 24,322
Mar 23,286
Mar 22,239
Mar 21,200
Mar 20,168
Mar 19,115
Mar 18,88
Mar 17,66
Mar 16,51
Mar 15,32
