Month,Inflation rate
May '15,0.5%
Jun '15,0.1%
Jul '15,-0.2%
Aug '15,0.2%
Sep '15,0.4%
Oct '15,0.7%
Nov '15,0.6%
Dec '15,0.2%
Jan '16,0.1%
Feb '16,-0.1%
Mar '15,0%
Apr '16,-0.1%
May '16,-0.1%
Jun '16,0.2%
Jul '16,0.8%
Aug '16,0.8%
Sep '16,0.1%
Oct '16,-0.2%
Nov '16,0.3%
Dec '16,1.1%
Jan '17,1.7%
Feb '17,2.5%
Mar '17,1.9%
Apr '17,1.6%
May '17,1.7%
Jun '17,1.7%
Jul '17,1.7%
Aug '17,1.7%
Sep '17,2.2%
Oct '17,2.9%
Nov '17,2.8%
Dec '17,2.6%
Jan '18,2.2%
Feb '18,1.2%
Mar '18,1.9%
Apr '18,2.2%
May '18,2.2%
Jun '18,2.4%
Jul '18,2%
Aug '18,2.1%
Sep '18,2.2%
Oct '18,1.7%
Nov '18,1.3%
Dec '18,1.3%
Jan '19,1.4%
Feb '19,2%
Mar '19,1.7%
Apr '19,1.7%
May '19,1.8%
Jun '19,2%
Jul '19,2.5%
Aug '19,2.6%
Sep '19,2%
Oct '19,1.9%
Nov '19,2.3%
Dec '19,2.4%
Jan '20,2.5%
