Year,GDP per capita in U.S. dollars
2025*,143165.97
2024*,139729.08
2023*,136246.0
2022*,131701.05
2021*,125922.64
2020*,109602.32
2019*,115838.77
2018,117859.72
2017,108621.75
2016,105364.03
2015,102624.93
2014,120449.5
2013,114998.32
2012,108047.82
2011,117340.49
2010,106184.61
2009,104357.92
2008,115987.04
2007,107013.82
2006,90494.69
2005,81104.54
2004,76318.34
2003,66045.43
2002,53348.37
2001,48489.55
2000,49173.44
1999,49539.61
1998,45821.99
1997,44382.17
1996,49920.89
1995,50911.12
1994,43482.86
1993,39643.49
1992,39219.74
1991,35490.12
1990,33201.25
1989,26333.47
1988,24976.57
1987,22239.52
1986,18022.94
1985,12444.14
