State,Number of female licensed drivers
Alabama,2029595
Alaska,2881710
Arizona,2530056
Arkansas,1232765
California,12867492
Colorado,1980391
Connecticut,1319610
Delaware,388520
District of Columbia,248029
Florida,7468685
Georgia,3648033
Hawaii,450242
Idaho,577320
Illinois,4313854
Indiana,2316158
Iowa,1133800
Kansas,1025191
Kentucky,1538874
Louisiana,1762287
Maine,516658
Maryland,2160894
Massachusetts,2567612
Michigan,3610264
Minnesota,1680435
Mississippi,1061578
Missouri,2182669
Montana,392116
Nebraska,700131
Nevada,916085
New Hampshire,546505
New Jersey,3172123
New Mexico,763595
New York,6133215
North Carolina,3751499
North Dakota,267317
Ohio,4108628
Oklahoma,1343255
Oregon,1449578
Pennsylvania,4535552
Rhode Island,384997
South Carolina,1946969
South Dakota,308307
Tennessee,2513995
Texas,8055241
Utah,971882
Vermont,278378
Virginia,3065055
Washington,2727596
West Virginia,585149
Wisconsin,2108496
Wyoming,206313
