Month,Cumulative number of hospitalizations
Dec 15,18618
Dec 8,18118
Dec 1,17677
Nov 24,17209
Nov 17,16668
Nov 10,16064
Nov 3,15434
Oct 27,14739
Oct 20,14029
Oct 13,13470
Oct 6,13020
Sep 29,12710
Sep 22,12597
Sep 15,12416
Sep 8,12301
Sep 1,12238
Aug 25,12199
Aug 18,12152
Aug 11,11980
Aug 4,11964
Jul 28,11923
Jul 21,11902
Jul 14,11892
Jul 7,11886
Jun 30,11877
Jun 23,11852
Jun 16,11828
Jun 9,11793
Jun 2,11750
May 26,11690
May 19,11613
May 12,11378
May 5,11126
Apr 28,10609
Apr 21,9897
Apr 14,8939
Apr 7,7427
Mar 31,4712
Mar 24,1495
Mar 17,314
Mar 12,86
