notifiable disease,Funding in million U.S. dollars
Total,4055.0
HIV/AIDS,1451.0
Tuberculosis,685.0
Malaria,663.0
Diarrhoeal diseases,171.0
Kinetoplastids,149.0
Bacterial pneunomia/meningitis,92.0
Salmonella infections,90.0
Worms and flukes,89.0
Dengue fever,80.0
"Hepatitis C genotype 4,5, and 6",46.0
Leprosy,10.0
Cryptococcal meningitis,7.7
Snakebite envenoming,6.6
Hepatitis B,5.7
Buruli ulcer,3.3
Trachoma,2.1
Leptospirosis,1.7
Rheumatic fever,1.7
Mycetoma,0.9
Platform technologies,43.0
Multi-disease vector control products,31.0
Core funding of a multidisease R&D organization,363.0
Unspecified disease,63.0
