Month,Number of players in thousands
Oct '20,27.4
Sep '20,38.74
Aug '20,36.56
Jul '20,34.74
Jun '20,35.12
May '20,41.74
Apr '20,61.24
Mar '20,49.79
Feb '20,62.19
Jan '20,103.33
Dec '19,94.6
Nov '19,26.59
Oct '19,20.37
Sept '19,30.59
Aug '19,25.63
Jul '19,35.77
Jun '19,33.04
May '19,21.32
Apr '19,33.78
Mar '19,23.58
Feb '19,33.76
Jan '19,25.65
Dec '18,23.94
Nov '18,27.24
Oct '18,19.56
Sept' 18,25.8
Aug '18,19.28
Jul '18,28.27
Jun '18,29.64
May '18,19.14
Apr '18,26.15
Mar '18,24.06
Feb '18,31.97
Jan '18,29.72
Dec '17,24.8
Nov '17,28.18
Oct '17,33.19
Sept '17,23.09
Aug '17,18.45
Jul '17,29.26
Jun '17,34.13
May '17,17.64
Apr '17,22.66
Mar '17,19.81
Feb '17,25.99
Jan '17,31.97
Dec '16,24.57
Nov '16,21.28
Oct '16,17.82
Sept '16,18.72
Aug '16,18.86
Jul '16,31.24
Jun '16,53.58
May '16,49.25
Apr '16,10.32
Mar '16,11.54
Feb '16,14.8
Jan '16,23.43
