Month,Number of viewers in thousands
November 2020,56.91
October 2020,45.06
September 2020,52.93
August 2020,51.42
July 2020,48.29
June 2020,57.23
May 2020,68.77
April 2020,75.71
March 2020,56.29
February 2020,50.36
January 2020,59.26
December 2019,46.05
November 2019,48.4
October 2019,40.41
September 2019,35.93
August 2019,95.32
July 2019,55.06
June 2019,59.72
May 2019,62.78
April 2019,41.03
March 2019,67.5
February 2019,74.88
January 2019,62.54
December 2018,44.29
November 2018,64.06
October 2018,47.34
September 2018,41.31
August 2018,93.97
July 2018,38.96
June 2018,66.8
May 2018,52.55
April 2018,55.83
March 2018,53.63
February 2018,49.0
January 2018,41.6
