Month,Consumer Confidence Index
Apr '20,54.85
Mar '20,58.24
Feb '20,57.26
Jan '20,58.82
Dec '19,58.77
Nov '19,59.9
Oct '19,56.97
Sep '19,55.78
Aug '19,58.25
Jul '19,56.49
Jun '19,57.63
May '19,55.28
Apr '19,63.54
Mar '19,59.45
Feb '19,57.79
Jan '19,58.2
Dec '18,58.72
Nov '18,60.02
Oct '18,57.6
Sep '18,59.95
Aug '18,68.17
Jul '18,72.68
Jun '18,70.14
May '18,69.55
Apr '18,71.36
Mar '18,71.29
Feb '18,72.2
Jan '18,72.02
Dec '17,65.64
Nov '17,65.58
Oct '17,67.63
Sep '17,69.33
Aug '17,71.02
Jul '17,70.95
Jun '17,69.87
May '17,72.48
Apr '17,70.78
Mar '17,67.8
Feb '17,65.67
Jan '17,66.61
Dec '16,63.87
Nov '16,69.31
Oct '16,74.32
Sep '16,74.9
Aug '16,74.35
Jul '16,66.68
Jun '16,69.31
May '16,68.47
Apr '16,67.99
Mar '16,66.99
Feb '16,66.57
Jan '16,71.26
Dec '15,74.01
Nov '15,77.5
Oct '15,63.06
Sep '15,59.14
Aug '15,62.3
Jul '15,64.33
Jun '15,66.35
May '15,64.02
Apr '15,64.91
Mar '15,64.38
Feb '15,67.99
Jan '15,67.34
Dec '14,68.15
Nov '14,69.01
Oct '14,70.6
Sep '14,74.59
Aug '14,73.22
Jul '14,73.58
Jun '14,73.6
May '14,75.73
Apr '14,78.06
Mar '14,72.67
Feb '14,69.15
Jan '14,71.98
Dec '13,75.35
Nov '13,77.84
Oct '13,75.82
Sep '13,72.76
Aug '13,77.2
Jul '13,78.13
Jun '13,76.12
May '13,77.17
Apr '13,75.22
Mar '13,74.83
Feb '13,76.55
Jan '13,75.38
Dec '12,73.96
Nov '12,72.96
Oct '12,69.65
Sep '12,72.77
Aug '12,74.4
Jul '12,76.7
Jun '12,76.66
May '12,77.82
Apr '12,75.35
Mar '12,79.23
Feb '12,79.52
Jan '12,78.6
