municipiu of Romania,Number of people
Alba,12639
Arad,14432
Arges,19106
Bacau,16891
Bihor,18347
Bistrita-Nasaud,7615
Botosani,8580
Braila,8502
Brasov,26093
Bucuresti,105702
Buzau,8469
Calarasi,6512
Caras-Severin,6707
Cluj,31231
Constanta,27264
Covasna,5152
Dambovita,15289
Dolj,15731
Galati,16741
Giurgiu,6532
Gorj,5163
Harghita,5396
Hunedoara,12097
Ialomita,7039
Iasi,28398
Ilfov,25315
Maramures,11147
Mehedinti,5150
Mures,15444
Neamt,11352
Olt,9741
Prahova,24486
Salaj,6371
Satu-Mare,7246
Sibiu,17303
Suceava,16330
Teleorman,8049
Timis,27447
Tulcea,5580
Unknown,4190
Valcea,10164
Vaslui,10777
Vrancea,7238
