multinational corporation,Expenditure in million NOK
Total expenditure,1442610
Operating costs,185897
Wages and salaries,93379
Goods and services,61349
Other operating expenses,31846
Operating deficit central government enterprises,-677
Total fixed capital formation,75443
Construction etc. extraction of petroleum,28000
Construction etc. other central government enterprises,3173
Other fixed capital formation,44270
Total transfers,1181270
Transfers to other state accounts,64802
Transfers to municipalities and county authorities,252251
"Pensions benefits etc., National Insurance Scheme",497650
Interest expenditure,10016
Other transfers,356551
