Month,Personal saving rate
OCt 20,13.6%
Sep 20,14.6%
Aug 20,15.1%
Jul 20,18.6%
Jun 20,19%
May 20,24.7%
Apr 20,33.7%
Mar 20,12.9%
Feb 20,8.3%
Jan 20,7.6%
Dec 19,7.2%
Nov 19,7.5%
Oct 19,7.2%
Sep 19,7.3%
Aug 19,7.3%
Jul 19,7%
Jun 19,7.1%
May 19,7.3%
Apr 19,7.5%
Mar 19,8%
Feb 19,8.6%
Jan 19,8.5%
Dec 18,9.1%
Nov 18,7.4%
Oct 18,7.6%
Sep 18,7.9%
Aug 18,7.8%
Jul 18,7.9%
Jun 18,7.9%
May 18,7.7%
Apr 18,7.7%
Mar 18,7.8%
Feb 18,7.8%
Jan 18,7.5%
Dec 17,6.6%
Nov 17,7%
Oct 17,7.4%
Sep 17,7.3%
Aug 17,7.6%
Jul 17,7.5%
Jun 17,7.4%
May 17,7.6%
Apr 17,7.1%
Mar 17,7%
Feb 17,7%
Jan 17,6.7%
Dec 16,6.4%
Nov 16,6.7%
Oct 16,6.8%
Sep 16,6.6%
Aug 16,6.6%
Jul 16,6.7%
Jun 16,6.5%
May 16,6.9%
Apr 16,7.1%
Mar 16,7.5%
Feb 16,7.2%
Jan 16,7.6%
Dec 15,7.3%
Nov 15,7.2%
Oct 15,7.5%
Sep 15,7.4%
Aug 15,7.3%
Jul 15,7.3%
Jun 15,7.4%
