fabric type,Export value in million U.S. dollars
RMG cotton (including accessories),8692.64
Cotton fabrics and madeups,5946.45
"Manmade yarn, fabrics and madeups",4980.48
Cotton yarn,3895.49
RMG manmade fibers,3852.15
RMG others,3222.37
Raw cotton (including waste),2104.34
Handmade non-silk carpets,1465.9
Manmade staple fiber,570.81
"Other textile yarn, fabric madeups",457.63
Handloom products,343.73
Coir,327.37
"Woolen yarn, fabrics and madeups",220.56
RMG wool,197.73
RMG silk,170.4
Other jute products,142.74
Hessian jute,113.81
"Natural silk yarn, fabrics and madeups",57.61
Jute floor covering,52.85
Silk waste,18.57
Silk carpets,16.11
Jute yarn,15.58
Raw jute,11.98
Raw wool,1.14
Raw silk,0.19
