Month,Cumulative number of hospitalizations
Dec 20,2543
Dec 19,2523
Dec 18,2616
Dec 17,2683
Dec 16,2707
Dec 15,2772
Dec 14,2888
Dec 13,2832
Dec 12,2772
Dec 11,2896
Dec 10,2961
Dec 9,3034
Dec 8,3137
Dec 7,3276
Dec 6,3208
Dec 5,3163
Dec 4,3348
Dec 3,3417
Dec 2,3590
Dec 1,3709
Nov 30,4029
Nov 29,3989
Nov 28,3993
Nov 27,4216
Nov 26,4395
Nov 25,4570
Nov 24,4820
Nov 23,5076
Nov 22,5025
Nov 21,5012
Nov 20,5418
Nov 19,5651
Nov 18,5897
Nov 17,6240
Nov 16,6580
Nov 15,6518
Nov 14,6506
Nov 13,6762
Nov 12,7010
Nov 11,6879
Nov 10,7058
Nov 9,7221
Nov 8,6955
Nov 7,6895
Nov 6,7224
Nov 5,7290
Nov 4,7407
Nov 3,7489
Nov 2,7232
Nov 1,6824
Oct 31,6501
Oct 30,6438
Oct 29,6187
Oct 28,5924
Oct 27,5549
Oct 26,5260
Oct 25,4825
Oct 24,4408
Oct 23,4057
Oct 22,3649
Oct 21,3275
Oct 20,2969
Oct 19,2773
Oct 18,2497
Oct 17,2267
Oct 16,2098
Oct 15,1950
Oct 14,1777
Oct 13,1621
Oct 12,1473
Oct 11,1331
Oct 10,1257
Oct 9,1189
Oct 8,1110
Oct 7,1050
Oct 6,952
Oct 5,937
Oct 4,866
Oct 3,819
Oct 2,789
Oct 1,771
Sep 30,739
Sep 29,716
Sep 28,708
Sep 27,654
Sep 26,626
Sep 25,620
Sep 24,602
Sep 23,550
Sep 22,505
Sep 21,490
Sep 20,432
Sep 19,421
Sep 18,392
Sep 17,371
Sep 16,353
Sep 15,315
Sep 14,318
Sep 13,293
Sep 12,260
Sep 11,254
Sep 10,249
Sep 9,250
Sep 8,260
Sep 7,235
Sep 6,223
Sep 5,215
Sep 4,215
Sep 3,209
Sep 2,221
Sep 1,226
Aug 31,243
Aug 30,233
Aug 29,230
Aug 28,252
Aug 27,257
Aug 26,260
Aug 25,282
Aug 24,320
Aug 23,312
Aug 22,310
Aug 21,314
Aug 20,303
Aug 19,314
Aug 18,334
Aug 17,335
Aug 16,341
Aug 15,337
Aug 14,309
Aug 13,312
Aug 12,309
Aug 11,301
Aug 10,307
Aug 9,312
Aug 8,287
Aug 7,285
Aug 6,278
Aug 5,293
Aug 4,265
Aug 3,290
Aug 2,271
Aug 1,259
Jul 31,253
Jul 30,267
Jul 29,263
Jul 28,232
Jul 27,222
Jul 26,211
Jul 25,210
Jul 24,218
Jul 23,203
Jul 22,191
Jul 21,172
Jul 20,180
Jul 19,168
Jul 18,161
Jul 17,145
Jul 16,147
Jul 15,150
Jul 14,147
Jul 13,138
Jul 12,130
Jul 11,132
Jul 10,143
Jul 9,160
Jul 8,165
Jul 7,178
Jul 6,169
Jul 5,170
Jul 4,170
Jul 3,168
Jul 2,187
Jul 1,203
Jun 30,222
Jun 29,244
Jun 28,237
Jun 27,237
Jun 26,247
Jun 25,256
Jun 24,268
Jun 23,281
Jun 22,293
Jun 21,295
Jun 20,292
Jun 19,308
Jun 18,340
Jun 17,344
Jun 16,371
Jun 15,397
Jun 14,395
Jun 13,425
Jun 12,477
Jun 11,482
Jun 10,525
Jun 9,573
Jun 8,573
Jun 7,571
Jun 6,645
Jun 5,700
Jun 4,733
Jun 3,819
Jun 2,819
Jun 1,807
May 31,821
May 30,890
May 29,937
May 28,1060
May 27,1128
May 26,1302
May 25,1334
May 24,1324
May 23,1388
May 22,1415
May 21,1448
May 20,1527
May 19,1630
May 18,1614
May 17,1622
May 16,1750
May 15,1862
May 14,1966
May 13,2014
May 12,2230
May 11,2222
May 10,2222
May 9,2381
May 8,2555
May 7,2688
May 6,2849
May 5,3082
May 4,3044
May 3,3056
May 2,3111
May 1,3386
Apr 30,3609
Apr 29,4050
Apr 28,3976
Apr 27,3968
Apr 26,3959
Apr 25,4195
Apr 24,4355
Apr 23,4527
Apr 22,4765
Apr 21,4976
Apr 20,4920
Apr 19,4871
Apr 18,5069
Apr 17,5161
Apr 16,5309
Apr 15,5524
Apr 14,5536
Apr 13,5393
Apr 12,5353
Apr 11,5635
Apr 10,5610
Apr 9,5590
Apr 8,5688
Apr 7,6012
Apr 6,5840
Apr 5,5735
Apr 4,5678
Apr 3,5552
Apr 2,5376
Apr 1,4995
Mar 31,4920
Mar 30,4524
Mar 29,4138
Mar 28,3717
Mar 27,3042
Mar 26,2652
Mar 25,2152
Mar 24,1859
Mar 23,1643
Mar 22,1380
Mar 21,1089
Mar 20,837
