Month,Number of excess deaths
Dec 25,3566
Dec 18,1463
Dec 11,1542
Dec 4,1608
Nov 27,2099
Nov 20,2155
Nov 13,2579
Nov 6,1481
Oct 30,996
Oct 23,980
Oct 16,669
Oct 9,143
Oct 2,390
Sep 25,257
Sep 18,259
Sep 11,505
Sep 4,-1443
Aug 28,798
Aug 21,474
Aug 14,307
Aug 7,-107
Jul 31,-90
Jul 24,-161
Jul 17,-270
Jul 10,-560
Jul 3,-43
June 26,-314
June 19,-65
June 12,559
June 5,732
May 29,1653
May 22,2348
May 15,4385
May 8,3081
May 1,8012
Apr 24,11539
Apr 17,11854
Apr 10,7996
Apr 3,6082
Mar 27,1011
Mar 20,72
Mar 13,-186
Mar 6,-603
Feb 28,-367
Feb 21,-707
Feb 14,-683
Feb 7,-939
Jan 31,-594
Jan 24,-904
Jan 17,-226
Jan 10,236
Jan 3,79
