Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",70.26
Professional and business services,32.62
Manufacturing,26.74
"Educational services, health care, and social assistance",26.4
Government and government enterprises,23.72
Information,18.0
Retail trade,13.92
Wholesale trade,12.5
"Arts, entertainment, recreation, accommodation, and food services",7.67
Construction,6.34
Transportation and warehousing,4.7
Utilities,4.11
"Agriculture, forestry, fishing, and hunting",0.54
"Mining, quarrying, and oil and gas extraction",0.2
