Date of forecast,Forecast GDP growth
"Nov 27, 2020",-4.5%
"Nov 20, 2020",-4.55%
"Nov 13, 2020",-4.66%
"Nov 6, 2020",-4.8%
"Oct 30, 2020",-4.81%
"Oct 23, 2020",-4.81%
"Oct 16, 2020",-5%
"Oct 9, 2020",-5.03%
"Oct 2, 2020",-5.02%
"Sep 25, 2020",-5.04%
"Sep 18, 2020",-5.05%
"Sep 11, 2020",-5.11%
"Sep 4, 2020",-5.31%
"Aug 28, 2020",-5.28%
"Aug 21, 2020",-5.46%
"Aug 14, 2020",-5.52%
"Aug 7, 2020",-5.62%
"Jul 31, 2020",-5.66%
"Jul 24, 2020",-5.77%
"Jul 17, 2020",-5.95%
"Jul 10, 2020",-6.1%
"Jul 3, 2020",-6.5%
"Jun 26, 2020",-6.54%
"Jun 19, 2020",-6.5%
"Jun 12, 2020",-6.51%
"Jun 05, 2020",-6.48%
"May 29, 2020",-6.25%
"May 22, 2020",-5.89%
"May 15, 2020",-5.12%
"May 8, 2020",-4.11%
"Apr 30, 2020",-3.76%
"Apr 24, 2020",-3.34%
"Apr 17, 2020",-2.96%
"Apr 9, 2020",-1.96%
"Apr 3, 2020",-1.18%
"Mar 27, 2020",-0.48%
"Mar 20, 2020",1.48%
"Mar 13, 2020",1.68%
"Mar 6, 2020",1.99%
"Feb 28, 2020",2.17%
"Feb 21, 2020",2.2%
"Feb 14, 2020",2.23%
"Feb 7, 2020",2.3%
"Jan 31, 2020",2.3%
"Jan 24, 2020",2.31%
"Jan 17, 2020",2.31%
"Jan 10, 2020",2.3%
"Jan 3, 2020",2.3%
