Graduate degree,Mid-career pay in U.S. dollars
Nurse Anesthesia (Master's),"156,000$"
Strategy (MBA),"149,000$"
Chemical Engineering (PhD),"146,000$"
General & Strategic Management (MBA),"146,000$"
Organic Chemistry (PhD),"146,000$"
Computer Science (CS) (PhD),"145,000$"
Electrical Engineering (EE) (PhD),"144,000$"
Pharmacology (PhD),"141,000$"
Entrepreneurship (MBA),"139,000$"
Corporate Finance (MBA),"138,000$"
Physical Chemistry (PhD),"138,000$"
Engineering (PhD),"137,000$"
Finance & Economics (MBA),"137,000$"
Physics (PhD),"135,000$"
Computer Science (CS) & Engineering (Master's),"134,000$"
Biomedical Engineering (BME) (PhD),"133,000$"
Statistics (PhD),"131,000$"
Finance (MBA),"130,000$"
Operations Research (Master's),"130,000$"
Electrical & Electronics Engineering (EEE) (Master's),"129,000$"
Taxation (Master's),"129,000$"
