Year,Gross domestic product in billion international dollars
2021*,691.36
2020*,638.36
2019*,668.83
2018,652.8
2017,628.47
2016,608.94
2015,584.01
2014,557.37
2013,527.21
2012,504.0
2011,478.3
2010,455.65
2009,434.68
2008,424.47
2007,406.77
2006,383.2
2005,365.78
2004,334.97
2003,312.74
2002,286.42
2001,267.0
2000,253.66
1999,239.04
1998,228.33
1997,214.83
1996,208.89
1995,197.63
1994,186.4
1993,184.16
1992,183.76
1991,176.83
1990,173.13
1989,165.56
1988,152.01
1987,149.68
1986,147.1
1985,144.48
1984,132.63
