Month,Number of viewers in thousands
November 2020,15.87
October 2020,14.68
September 2020,15.39
August 2020,16.78
July 2020,17.48
June 2020,16.68
May 2020,15.44
April 2020,15.83
March 2020,17.57
February 2020,25.5
January 2020,15.81
December 2019,15.69
November 2019,12.3
October 2019,11.14
September 2019,15.16
August 2019,19.13
July 2019,14.43
June 2019,16.77
May 2019,12.8
April 2019,11.47
March 2019,12.12
February 2019,16.81
January 2019,16.27
December 2018,12.46
November 2018,12.9
October 2018,9.19
September 2018,15.0
August 2018,19.06
July 2018,17.72
June 2018,12.32
May 2018,12.66
April 2018,11.14
March 2018,12.66
February 2018,16.92
January 2018,7.37
