Year,GDP per capita in U.S. dollars
2025*,17343.34
2024*,16517.46
2023*,15730.92
2022*,14981.83
2021*,14390.01
2020*,14090.5
2019,15834.04
2018,15660.39
2017,15182.28
2016,14344.09
2015,13606.6
2014,12756.95
2013,11841.89
2012,10674.49
2011,9314.69
2010,8039.76
2009,7532.4
2008,7110.23
2007,6127.03
2006,5315.84
2005,4886.41
2004,4565.1
2003,4244.18
2002,4106.47
2001,4029.98
2000,4046.46
1999,4070.42
1998,3963.41
1997,3731.1
1996,3524.1
1995,3050.72
1994,3046.04
1993,2916.29
1992,2726.97
1991,2450.2
1990,2276.28
1989,2137.26
1988,2176.56
1987,2571.63
1986,2616.16
1985,2573.29
