Year,First Bundesliga memebership in years
Werder Bremen,57
FC Bayern München,56
Hamburger SV,55
VfB Stuttgart,54
Borussia Dortmund,54
Borussia Mönchengladbach,53
FC Schalke 04,53
Eintracht Frankfurt,52
1. FC Köln,49
1. FC Kaiserslautern,44
Bayer 04 Leverkusen,42
Hertha BSC,38
VfL Bochum,34
1. FC Nürnberg,33
Hannover 96,30
MSV Duisburg,28
Fortuna Düsseldorf,25
VfL Wolfsburg,24
Karlsruher SC,24
SC Freiburg,21
Eintracht Braunschweig,21
TSV 1860 München,20
Arminia Bielefeld,18
1. FSV Mainz 05,15
KFC Uerdingen 05,14
1899 Hoffenheim,13
FC Hansa Rostock,12
FC Augsburg,10
FC St. Pauli,8
Kickers Offenbach,7
Rot-Weiß Essen,7
Waldhof Mannheim,7
FC Energie Cottbus,6
RB Leipzig,5
1. FC Saarbrücken,5
Dynamo Dresden,4
SG Wattenscheid 09,4
Alemannia Aachen,4
RW Oberhausen,4
SV Darmstadt 98,4
Wuppertaler SV,3
Borussia Neunkirchen,3
FC 08 Homburg,3
Tennis Borussia Berlin,2
SpVgg Unterhaching,2
Stuttgart Kickers,2
FC Ingolstadt 04,2
SC Paderborn,2
Union Berlin,2
SpVgg Greuther Fürth,1
SSV Ulm 1846,1
VfB Leipzig,1
Fortuna Köln,1
Blau-Weiß 90 Berlin,1
Preußen Münster,1
Tasmania 1900 Berlin,1
