city,Number of people
Chisinau,57780
Tiraspol,5362
Balti,4918
Ialoveni,3655
Slobozia,3350
Edinet,3316
Cahul,3060
Bender,2927
Anenii Noi,2824
Straseni,2789
Ribnita,2560
Orhei,2454
Comrat,2035
Criuleni,1929
Soroca,1925
Falesti,1882
Calarasi,1808
Drochia,1755
Singerei,1720
Briceni,1693
Ștefan Vodă,1689
Causeni,1667
Ungheni,1636
Glodeni,1571
Cimislia,1516
Floresti,1456
Hincesti,1363
Ceadir-Lunga,1344
Rezina,1307
Telenesti,1211
Nisporeni,1210
Taraclia,1182
Grigoriopol,1140
Riscani,1033
Donduseni,964
Dubasari (Transnistria),956
Soldanesti,940
Ocnita,874
Cantemir,786
Dubasari,730
Leova,729
Vulcanesti,710
Basarabeasca,698
Camenca,477
