Month,Number of cars registered
Jan 19,1
Dec 18,0
Nov 18,0
Oct 18,0
Sep 18,1
Aug 18,14
Jul 18,11
Jun 18,32
May 18,39
Apr 18,49
Mar 18,76
Feb 18,17
Jan 18,50
Dec 17,65
Nov 17,86
Oct 17,64
Sep 17,159
Aug 17,23
Jul 17,57
Jun 17,59
May 17,80
Apr 17,57
Mar 17,233
Feb 17,45
Jan 17,72
Dec 16,234
Nov 16,157
Oct 16,131
Sep 16,272
Aug 16,49
Jul 16,107
Jun 16,107
May 16,114
Apr 16,104
Mar 16,283
Feb 16,45
Jan 16,116
Dec 15,164
Nov 15,221
Oct 15,256
Sep 15,596
Aug 15,107
Jul 15,277
Jun 15,424
May 15,421
Apr 15,361
Mar 15,684
Feb 15,108
Jan 15,258
Dec 14,227
Nov 14,197
Oct 14,185
Sep 14,357
Aug 14,120
Jul 14,163
Jun 14,255
May 14,270
Apr 14,293
Mar 14,506
Feb 14,104
Jan 14,166
