Month,Price in British pounds per head
Nov '19,0.39
Oct '19,0.53
Sep '19,0.54
Aug '19,0.53
Jul '19,0.54
Jun '19,0.56
May '19,0.6
Nov '18,0.57
Oct '18,0.52
Sep '18,0.54
Aug '18,0.6
Jul '18,0.55
Jun '18,0.54
May '18,0.64
Mar '18,0.56
Nov '17,0.5
Oct '17,0.53
Sep '17,0.51
Aug '17,0.51
Jul '17,0.54
Jun '17,0.54
May '17,0.58
Apr '17,0.72
Jan '17,0.8
Dec '16,0.5
Nov '16,0.53
Oct '16,0.52
Sep '16,0.52
Aug '16,0.53
Jul '16,0.56
Jun '16,0.53
May '16,0.66
Nov '15,0.49
Oct '15,0.47
Sep '15,0.46
Aug '15,0.46
Jul '15,0.49
Jun '15,0.52
May '15,0.51
Nov '14,0.54
