prefecture of Japan,Number of hospital beds
Tokyo,635
Aichi,608
Kanagawa,519
Osaka,415
Hokkaido,317
Chiba,316
Hyogo,291
Shizuoka,262
Fukuoka,255
Saitama,204
Okayama,153
Kyoto,148
Niigata,140
Hiroshima,132
Miyagi,130
Gifu,120
Tochigi,118
Ibaraki,112
Kumamoto,104
Nara,94
Yamaguchi,91
Nagano,81
Saga,80
Shiga,76
Wakayama,72
Ehime,70
Kochi,68
Gunma,66
Fukushima,64
Tokushima,64
Yamagata,62
Mie,60
Kagawa,54
Oita,51
Aomori,46
Kagoshima,44
Nagasaki,43
Shimane,41
Iwate,36
Okinawa,35
Akita,30
Tottori,29
Ishikawa,28
Fukui,28
Toyama,19
Yamanashi,16
Miyazaki,0
