Year,GDP per capita in U.S. dollars
2025*,63995.65
2024*,60829.43
2023*,59651.52
2022*,59095.14
2021*,58370.63
2020*,57189.03
2019*,67857.18
2018,73868.07
2017,72356.32
2016,62004.7
2015,52838.36
2014,54527.56
2013,49815.68
2012,46073.94
2011,47600.73
2010,43080.6
2009,41220.97
2008,56759.31
2007,69928.2
2006,57408.96
2005,57267.86
2004,47612.44
2003,39567.45
2002,32433.6
2001,28957.27
2000,32265.46
1999,32539.79
1998,31184.57
1997,28090.86
1996,27914.45
1995,26711.55
1994,24142.7
1993,23749.38
1992,27383.23
1991,27183.02
1990,25651.42
1989,22646.59
1988,24840.13
1987,22795.64
1986,16585.86
1985,12517.15
