Month,Number of COVID-19 tests per day
Nov 26,1150227
Nov 25,1700638
Nov 24,1790514
Nov 23,1757307
Nov 22,1726449
Nov 21,1977400
Nov 20,1917112
Nov 19,1817267
Nov 18,1541478
Nov 17,1497259
Nov 16,1478180
Nov 15,1614984
Nov 14,1661289
Nov 13,1688316
Nov 12,1479595
Nov 11,1412859
Nov 10,1246063
Nov 09,1477040
Nov 08,1238119
Nov 07,1520813
Nov 06,1533015
Nov 05,1538114
Nov 04,1218011
Nov 03,1124093
Nov 02,1323405
Nov 01,1067841
Oct 31,1383750
Oct 30,1360831
Oct 29,1332727
Oct 28,1092103
Oct 27,1066180
Oct 26,1205617
Oct 25,1188411
Oct 24,1329390
Oct 23,1375768
Oct 22,1222596
Oct 21,943999
Oct 20,948226
Oct 19,1166571
Oct 18,1039133
Oct 17,1274880
Oct 16,1228730
Oct 15,1111422
Oct 14,1038191
Oct 13,1050029
Oct 12,1054264
Oct 11,1077760
Oct 10,1251417
Oct 9,1201954
Oct 8,1154808
Oct 7,974445
Oct 6,908255
Oct 5,1010275
Oct 4,1018754
Oct 3,1085033
Oct 2,1241303
Oct 1,1003447
Sep 30,906454
Sep 29,917267
Sep 28,1158944
Sep 27,904586
Sep 26,1123018
Sep 25,1115587
Sep 24,1040558
Sep 23,1011113
Sep 22,855141
Sep 21,771441
Sep 20,977416
Sep 19,1176196
Sep 18,1093379
Sep 17,969801
Sep 16,827282
Sep 15,813493
Sep 14,833577
Sep 13,772244
Sep 12,997251
Sep 11,923977
Sep 10,781811
Sep 09,703520
Sep 08,578262
Sep 07,663892
Sep 06,827831
Sep 05,966470
Sep 04,1043217
Sep 03,879674
Sep 02,755651
Sep 01,814998
Aug 31,734853
Aug 30,826554
Aug 29,890507
Aug 28,906788
Aug 27,861664
Aug 26,736753
Aug 25,712640
Aug 24,722435
Aug 23,716067
Aug 22,878382
Aug 21,869157
Aug 20,812429
Aug 19,785143
Aug 18,724493
Aug 17,730438
Aug 16,853527
Aug 15,865314
Aug 14,970765
Aug 13,1007003
Aug 12,747682
Aug 11,801096
Aug 10,797629
Aug 09,783245
Aug 08,746041
Aug 07,897535
Aug 06,837850
Aug 05,787153
Aug 04,772644
Aug 03,799410
Aug 02,749949
Aug 01,825202
Jul 31,978337
Jul 30,890182
Jul 29,930567
Jul 28,828127
Jul 27,822549
Jul 26,891176
Jul 25,875376
Jul 24,1001308
Jul 23,910616
Jul 22,882679
Jul 21,809022
Jul 20,760467
Jul 19,837850
Jul 18,842940
Jul 17,910041
Jul 16,899279
Jul 15,846529
Jul 14,811458
Jul 13,757409
Jul 12,823613
Jul 11,757723
Jul 10,888155
Jul 09,768562
Jul 08,706533
Jul 07,683008
Jul 06,642109
Jul 05,686536
Jul 04,658688
Jul 03,730139
Jul 02,705726
Jul 01,667484
Jun 30,663509
Jun 29,675474
Jun 28,606879
Jun 27,631434
Jun 26,741511
Jun 25,648713
Jun 24,507779
Jun 23,645169
Jun 22,496660
Jun 21,522810
Jun 20,582562
Jun 19,608555
Jun 18,545786
Jun 17,522295
Jun 16,485120
Jun 15,445605
Jun 14,481823
Jun 13,524731
Jun 12,591430
Jun 11,505859
Jun 10,448080
Jun 09,444804
Jun 08,410812
Jun 07,424767
Jun 06,559329
Jun 05,589226
Jun 04,494461
Jun 03,471783
Jun 02,436718
Jun 01,418057
May 31,401959
May 30,453143
May 29,508622
May 28,462264
May 27,405809
May 26,312291
May 25,433934
May 24,367047
May 23,448155
May 22,418311
May 21,498778
May 20,447500
May 19,406936
May 18,367519
May 17,366347
May 16,364362
May 15,407671
May 14,384318
May 13,340132
May 12,327970
May 11,385637
May 10,266047
May 9,309749
May 8,327310
May 7,305332
May 6,281507
May 5,286955
May 4,234244
May 3,228529
May 2,263858
May 1,297312
Apr 30,259282
Apr 29,246300
Apr 28,218826
Apr 27,191458
Apr 26,207095
Apr 25,272152
Apr 24,241844
Apr 23,208032
Apr 22,342616
Apr 21,164758
Apr 20,147974
Apr 19,156512
Apr 18,151844
Apr 17,165613
Apr 16,175403
Apr 15,145527
Apr 14,160813
Apr 13,133090
Apr 12,137312
Apr 11,141764
Apr 10,158827
Apr 09,172632
Apr 08,160218
Apr 07,150212
Apr 06,151569
Apr 05,122117
Apr 04,228323
Apr 03,135240
Apr 02,122780
Apr 01,116131
Mar 31,112109
Mar 30,115177
Mar 29,86346
Mar 28,89694
Mar 27,109278
Mar 26,110351
Mar 25,87350
Mar 24,70901
Mar 23,58144
Mar 22,49960
Mar 21,49325
Mar 20,43068
Mar 19,32635
Mar 18,31144
Mar 17,22554
Mar 16,15214
Mar 15,7673
Mar 14,6674
Mar 13,7595
Mar 12,5754
Mar 11,3967
Mar 10,2680
Mar 9,1853
Mar 8,965
Mar 7,2563
Mar 6,2000
Mar 3,247
Mar 2,195
Mar 1,83
