law school,Starting median pay in U.S. dollars
Columbia Law School,146900
Harvard Law School,125400
Northwestern University School of Law,110800
University of Chicago Law School,105100
Stanford Law School,104000
Yale Law School,101800
University of Virginia School of Law,97400
University of Michigan Law School,95500
Cornell University Law School,93500
Duke Univeristy School of Law,87700
Univeristy of California at Los Angeles School of Law,84200
University of California Hastings College of the Law,83900
Georgetown University Law School,83700
University of California at Berkeley School of Law,82700
University of Utah S.J. Quinney College of Law,82000
University of Southern California Gould School of Law,80300
University of Houston Law Center,79400
University of San Francisco School of Law,79300
Univeristy of Colorado Law School,77400
University of Texas at Austin School of Law,76700
New York University School of Law,76300
Fordham University School of Law,76200
Catholic University of America Columbus School of Law,75600
University of San Diego School of Law,75300
Santa Clara University School of Law,75100
