Response,Share of respondents
Generally abusive language or comments directed at you,62%
Sexist or misogynist comments directed at you,46%
Threats (direct or indirect) of physical or sexual violence against you,26%
The posting of your personal details online with the aim to cause you alarm or stress,17%
Racist language or comments directed at you,14%
The posting of intimate images of you online without your consent,8%
Homophobic or transphobic language or comments direct at you,7%
Other types of online abuse,18%
Don't know,2%
Prefer not to say,2%
