Response,Percentage of newborns with low birthweight
Alaska,5.9
South Dakota,6.8
North Dakota,6.6
Washington,6.4
Oregon,6.5
Minnesota,6.6
Idaho,7.0
Vermont,6.9
Iowa,6.8
Kansas,7.0
California,6.8
Maine,7.1
New Hampshire,6.4
Montana,7.9
Utah,7.2
Nebraska,7.0
Arizona,7.3
Wisconsin,7.4
Massachusetts,7.5
Rhode Island,8.0
New York,7.9
Oklahoma,7.8
Connecticut,7.8
Virginia,8.1
Indiana,8.2
Pennsylvania,8.2
United States,8.2
New Jersey,8.1
Texas,8.4
Hawaii,8.5
Illinois,8.4
Missouri,8.7
Michigan,8.5
Nevada,8.5
Ohio,8.7
Florida,8.7
Maryland,8.5
Wyoming,8.5
New Mexico,9.0
Kentucky,9.1
Colorado,9.0
Tennessee,9.3
North Carolina,9.2
Arkansas,8.8
Delaware,8.9
Georgia,9.8
South Carolina,9.6
West Virginia,9.6
District of Columbia,10.1
Alabama,10.3
Louisiana,10.6
Mississippi,11.5
