Year,Inflation rate compared to previous year
2025*,2.02%
2024*,2.02%
2023*,2.02%
2022*,2.02%
2021*,2.74%
2020*,0.37%
2019,1.31%
2018,1.37%
2017,2.27%
2016,0.8%
2015,1.89%
2014,2.12%
2013,3.8%
2012,10.89%
2011,11.26%
2010,6.16%
2009,4.55%
2008,12.03%
2007,6.8%
2006,3.5%
2005,2.46%
2004,6.34%
2003,-2.8%
2002,0.93%
2001,0.67%
2000,-1.18%
1999,2.96%
1998,-1.41%
1997,7.58%
1996,6.24%
1995,5.49%
1994,3.39%
1993,20.13%
1992,16.86%
1991,12.5%
1990,15.54%
1989,7.16%
1988,6.48%
1987,11.7%
1986,9.1%
1985,-9.16%
