University,Number of degrees awarded to today's billionaires
Harvard University,1830
Stanford University,775
University of Pennsylvania,744
Columbia University,516
New York University,456
Northwestern University,365
Yale University,358
Massachusetts Institute of Technology,351
The University of Texas at Austin,332
University of Chicago,326
University of Southern California,319
University of Notre Dame,316
Princeton University,309
Cornell University,299
"University of California, Berkeley",295
University of Michigan,281
"University of California, Los Angeles",277
University of Virginia,251
University of Miami,248
Boston University,203
