hotel,Expected Wi-Fi speed in Mbps
Singapore Marriott Tang Plaza Hotel,69.4
Marina Bay Sands,31.3
Capri by Fraser Changi City,30.5
The Fullerton Hotel Singapore,28.9
Hotel Jen Tanglin Singapore,25.9
Riverview Hotel Singapore,25.3
Parkroyal on Kitchener Road,24.2
Royal Plaza On Scotts,23.0
Shangri-La Hotel Singapore,23.0
Rendezvous Hotel Singapore by Far East Hospitality,21.6
The Westin Singapore,19.0
Holiday Inn Express Singapore Clarke Quay,18.7
Hotel Jen Orchardgateway Singapore,16.1
"The Ritz-Carlton, Millenia Singapore",13.4
The Fullerton Bay Hotel Singapore,12.7
