Month,Market share
Dec 20,4.3%
Nov 20,4.46%
Oct 20,5.64%
Sep 20,6%
Aug 20,4.74%
Jul 20,5.66%
Jun 20,8.05%
May 20,3.09%
Apr 20,0.44%
Mar 20,6.03%
Feb 20,4.7%
Jan 20,5.29%
Dec 19,3.17%
Nov 19,3.99%
Oct 19,5.12%
Sep 19,5.2%
Aug 19,4.54%
Jul 19,5.17%
Jun 19,5.1%
May 19,3.94%
Apr 19,3.77%
Mar 19,4.56%
Feb 19,3.09%
Jan 19,5.33%
Dec 18,2.04%
Nov 18,3.88%
Oct 18,4.61%
Sep 18,5.63%
Aug 18,3.85%
Jul 18,4.05%
Jun 18,4.13%
May 18,3.52%
Apr 18,4%
Mar 18,4.75%
Feb 18,3.35%
Jan 18,4.87%
Dec 17,3.4%
Nov 17,3.64%
Oct 17,3.82%
Sep 17,4.51%
Aug 17,3.59%
Jul 17,3.96%
Jun 17,3.93%
May 17,3.61%
Apr 17,3.36%
Mar 17,4.36%
Feb 17,3.72%
Jan 17,4.26%
Dec 16,2.61%
Nov 16,3.18%
Oct 16,2.96%
Sep 16,4.02%
Aug 16,2.69%
Jul 16,2.99%
Jun 16,3.88%
May 16,3.67%
Apr 16,3.51%
Mar 16,4.14%
Feb 16,2.97%
Jan 16,4.02%
Dec 15,2.65%
Nov 15,3.45%
Oct 15,3.47%
Sep 15,4.13%
Aug 15,2.93%
Jul 15,3.5%
Jun 15,3.8%
May 15,3.67%
Apr 15,3.57%
Mar 15,4.17%
Feb 15,3.84%
Jan 15,4.07%
