Year,GDP per capita in U.S. dollars
2025*,70766.32
2024*,68555.02
2023*,66383.76
2022*,64217.44
2021*,62112.95
2020*,58483.96
2019,65233.88
2018,66185.53
2017,60912.73
2016,56826.39
2015,55645.61
2014,57564.8
2013,56519.35
2012,54891.87
2011,53363.94
2010,46469.4
2009,38577.17
2008,39722.15
2007,39223.54
2006,33579.16
2005,29869.9
2004,27404.81
2003,23573.85
2002,22016.98
2001,21576.81
2000,23793.11
1999,21796.25
1998,21824.01
1997,26386.35
1996,26262.26
1995,24937.27
1994,21577.84
1993,18302.53
1992,16144.34
1991,14504.6
1990,12766.06
1989,10711.03
1988,9316.36
1987,7786.65
1986,6864.32
1985,6781.92
