Month,Number of deaths
Dec 20,18626
Dec 19,18544
Dec 18,18455
Dec 17,18371
Dec 16,18278
Dec 15,18178
Dec 14,18054
Dec 13,17951
Dec 12,17902
Dec 11,17792
Dec 10,17692
Dec 9,17603
Dec 8,17507
Dec 7,17386
Dec 6,17320
Dec 5,17254
Dec 4,17142
Dec 3,17033
Dec 2,16991
Dec 1,16786
Nov 30,16645
Nov 29,16547
Nov 28,16461
Nov 27,16339
Nov 26,16219
Nov 25,16209
Nov 24,16104
Nov 23,15997
Nov 22,15863
Nov 21,15727
Nov 20,15524
Nov 19,15566
Nov 18,15396
Nov 17,15226
Nov 16,14933
Nov 15,14732
Nov 14,14548
Nov 13,14360
Nov 12,14192
Nov 11,13998
Nov 10,13806
Nov 9,13601
Nov 8,13410
Nov 7,13198
Nov 6,12991
Nov 5,12777
Nov 4,12575
Nov 3,12383
Nov 2,12215
Nov 1,11991
Oct 31,11835
Oct 30,11661
Oct 29,11475
Oct 28,11338
Oct 27,11199
Oct 26,11059
Oct 25,10939
Oct 24,10845
Oct 23,10738
Oct 22,10653
Oct 21,10600
Oct 20,10545
Oct 19,10498
Oct 18,10449
Oct 17,10418
Oct 16,10395
Oct 15,10360
Oct 14,10325
Oct 13,10284
Oct 12,10250
Oct 11,10214
Oct 10,10189
Oct 9,10167
Oct 8,10149
Oct 7,10129
Oct 6,10109
Oct 5,10091
Oct 4,10075
Oct 3,10061
Oct 2,10048
Oct 1,10033
Sep 30,10027
Sep 29,10018
Sep 28,10005
Sep 27,9993
Sep 26,9987
Sep 25,9982
Sep 24,9978
Sep 23,9970
Sep 22,9969
Sep 21,9966
Sep 20,9963
Sep 19,9955
Sep 18,9949
Sep 17,9937
Sep 16,9935
Sep 15,9932
Sep 14,9928
Sep 13,9927
Sep 12,9925
Sep 11,9924
Sep 10,9920
Sep 9,9917
Sep 8,9915
Sep 7,9912
Sep 6,9908
Sep 5,9906
Sep 4,9905
Sep 3,9903
Sep 2,9899
Sep 1,9897
Aug 31,9894
Aug 30,9891
Aug 29,9890
Aug 28,9884
Aug 27,9880
Aug 26,9879
Aug 25,9878
Aug 24,9874
Aug 23,9869
Aug 22,9866
Aug 21,9861
Aug 20,9858
Aug 19,9854
Aug 18,9845
Aug 17,9834
Aug 16,9827
Aug 15,9820
Aug 14,9811
Aug 13,9799
Aug 12,9787
Aug 11,9776
Aug 10,9763
Aug 9,9752
Aug 8,9747
Aug 7,9745
Aug 6,9739
Aug 5,9735
Aug 4,9730
Aug 3,9725
Aug 2,9722
Aug 1,9717
Jul 31,9715
Jul 30,9712
Jul 29,9710
Jul 28,9707
Jul 27,9706
Jul 26,9702
Jul 25,9700
Jul 24,9699
Jul 23,9694
Jul 22,9692
Jul 21,9690
Jul 20,9689
Jul 19,9687
Jul 18,9686
Jul 17,9684
Jul 16,9679
Jul 15,9674
Jul 14,9671
Jul 13,9671
Jul 12,9667
Jul 11,9665
Jul 10,9665
Jul 9,9664
Jul 8,9661
Jul 7,9660
Jul 6,9658
Jul 5,9655
Jul 4,9653
Jul 3,9648
Jul 2,9646
Jul 1,9638
Jun 30,9635
Jun 29,9630
Jun 28,9622
Jun 27,9620
Jun 26,9615
Jun 25,9612
Jun 24,9608
Jun 23,9596
Jun 22,9587
Jun 21,9584
Jun 20,9580
Jun 19,9575
Jun 18,9568
Jun 17,9561
Jun 16,9553
Jun 15,9550
Jun 14,9545
Jun 13,9535
Jun 12,9528
Jun 11,9516
Jun 10,9504
Jun 9,9495
Jun 8,9483
Jun 7,9472
Jun 6,9460
Jun 5,9446
Jun 4,9426
Jun 3,9403
Jun 2,9382
Jun 1,9360
May 31,9337
May 30,9321
May 29,9295
May 28,9269
May 27,9245
May 26,9221
May 25,9195
May 24,9190
May 23,9189
May 22,9188
May 21,9186
May 20,9150
May 19,9108
May 18,9080
May 17,9052
May 16,9005
May 15,8959
May 14,8903
May 13,8843
May 12,8761
May 11,8707
May 10,8656
May 9,8581
May 8,8521
May 7,8415
May 6,8339
May 5,8016
May 4,7924
May 3,7844
May 2,7765
May 1,7703
Apr 30,7594
Apr 29,7501
Apr 28,7331
Apr 27,7207
Apr 26,7094
Apr 25,6917
Apr 24,6679
Apr 23,6490
Apr 22,6262
Apr 21,5998
Apr 20,5828
Apr 19,5683
Apr 18,5453
Apr 17,5163
Apr 16,4857
Apr 15,4440
Apr 14,4157
Apr 13,3903
Apr 12,3600
Apr 11,3346
Apr 10,3019
Apr 9,2523
Apr 8,2240
Apr 7,2035
Apr 6,1632
Apr 5,1447
Apr 4,1283
Apr 3,1143
Apr 2,1011
Apr 1,828
Mar 31,705
Mar 30,513
Mar 29,431
Mar 28,353
Mar 27,289
Mar 26,220
Mar 25,178
Mar 24,122
Mar 23,88
Mar 22,75
Mar 21,67
Mar 20,37
Mar 19,21
Mar 18,14
Mar 17,10
Mar 16,5
Mar 15,4
Mar 14,4
Mar 13,3
Mar 12,3
Mar 11,3
