Year,Number of new cases
1/5/21,211444
1/4/21,284312
1/3/21,396196
1/2/21,231427
1/1/21,0
12/31/20,199163
12/30/20,174814
12/29/20,145513
12/28/20,178311
12/27/20,145489
12/26/20,192095
12/25/20,221145
12/24/20,195151
12/23/20,182819
12/22/20,197199
12/21/20,200257
12/20/20,402270
12/19/20,229915
12/18/20,235805
12/17/20,201468
12/16/20,204281
12/15/20,180420
12/14/20,212577
12/13/20,243209
12/12/20,201681
12/11/20,230852
12/10/20,216360
12/9/20,185473
12/8/20,173388
12/7/20,205837
12/6/20,213127
12/5/20,218671
12/4/20,195769
12/3/20,177976
12/2/20,151204
12/1/20,151674
11/30/20,143211
11/29/20,175669
11/28/20,141222
11/27/20,180850
11/26/20,165091
11/25/20,157180
11/24/20,147098
11/23/20,183544
11/22/20,191033
11/21/20,184191
11/20/20,164560
11/19/20,164044
11/18/20,151266
11/17/20,137486
11/16/20,155001
11/15/20,181066
11/14/20,193734
11/13/20,142076
11/12/20,133935
11/11/20,122231
11/10/20,104659
11/9/20,127151
11/8/20,131821
11/7/20,116780
11/6/20,106050
11/5/20,88163
11/4/20,85412
11/3/20,75888
11/2/20,80379
11/1/20,99356
10/31/20,89048
10/30/20,80384
10/29/20,72042
10/28/20,63145
10/27/20,62364
10/26/20,82626
10/25/20,82630
10/24/20,72342
10/23/20,63361
10/22/20,60155
10/21/20,59018
10/20/20,46378
10/19/20,52508
10/18/20,69834
10/17/20,63044
10/16/20,59106
10/15/20,46309
10/14/20,46308
10/13/20,45325
10/12/20,53055
10/11/20,57828
10/10/20,54232
10/9/20,52458
10/8/20,38904
10/7/20,38920
10/6/20,36136
10/5/20,49036
10/4/20,49465
10/3/20,46293
10/2/20,44985
10/1/20,38476
9/30/20,32688
9/29/20,35217
9/28/20,48958
9/27/20,50070
9/26/20,41254
9/25/20,40043
9/24/20,49176
9/23/20,39145
9/22/20,36766
9/21/20,41695
9/20/20,48266
9/19/20,42618
9/18/20,40795
9/17/20,34078
9/16/20,34111
9/15/20,35177
9/14/20,40126
9/13/20,45523
9/12/20,37128
9/11/20,31988
9/10/20,23204
9/9/20,26015
9/8/20,33486
9/7/20,45350
9/6/20,49131
9/5/20,44563
9/4/20,39402
9/3/20,42662
9/2/20,31808
9/1/20,37068
8/31/20,43983
8/30/20,44002
8/29/20,46194
8/28/20,45484
8/27/20,37030
8/26/20,32883
8/25/20,37765
8/24/20,44946
8/23/20,45960
8/22/20,43952
8/21/20,46259
8/20/20,37908
8/19/20,39125
8/18/20,41073
8/17/20,54375
8/16/20,55359
8/15/20,52799
8/14/20,55907
8/13/20,54791
8/12/20,39894
8/11/20,47964
8/10/20,53893
8/9/20,61028
8/8/20,55318
8/7/20,53373
8/6/20,49629
8/5/20,49151
8/4/20,47183
8/3/20,58388
8/2/20,67499
8/1/20,67823
7/31/20,65406
7/30/20,59629
7/29/20,54022
7/28/20,61498
7/27/20,63968
7/26/20,74235
7/25/20,71714
7/24/20,69641
7/23/20,62929
7/22/20,57276
7/21/20,62788
