Year,Gross domestic product in billion international dollars
2021*,4167.8
2020*,3778.13
2019,3735.64
2018,3495.97
2017,3245.06
2016,3031.39
2015,2856.55
2014,2695.67
2013,2520.49
2012,2346.63
2011,2171.52
2010,2003.48
2009,1861.67
2008,1764.61
2007,1661.06
2006,1475.3
2005,1357.3
2004,1245.41
2003,1154.67
2002,1081.9
2001,1019.19
2000,962.26
1999,896.58
1998,876.88
1997,998.14
1996,937.18
1995,853.59
1994,772.56
1993,703.37
1992,636.46
1991,584.17
1990,518.74
1989,458.74
1988,404.67
1987,365.38
1986,334.57
1985,305.98
1984,285.45
