Year,Number of new reported cases
12/18/20,0
12/17/20,23
12/16/20,287
12/15/20,880
12/14/20,1847
12/13/20,1751
12/12/20,2151
12/11/20,2711
12/10/20,2724
12/9/20,3064
12/8/20,3224
12/7/20,3625
12/6/20,2938
12/5/20,3454
12/4/20,4461
12/3/20,4578
12/2/20,4615
12/1/20,5061
11/30/20,5134
11/29/20,4157
11/28/20,4509
11/27/20,4778
11/26/20,4715
11/25/20,5062
11/24/20,4795
11/23/20,5105
11/22/20,3965
11/21/20,4010
11/20/20,4409
11/19/20,4257
11/18/20,4533
11/17/20,4330
11/16/20,4587
11/15/20,3666
11/14/20,3843
11/13/20,4310
11/12/20,4169
11/11/20,4359
11/10/20,4493
11/9/20,4610
11/8/20,3664
11/7/20,4035
11/6/20,4389
11/5/20,4222
11/4/20,4452
11/3/20,4300
11/2/20,4417
11/1/20,3167
10/31/20,3182
10/30/20,3341
10/29/20,3044
10/28/20,3437
10/27/20,3220
10/26/20,3270
10/25/20,2621
10/24/20,2581
10/23/20,2780
10/22/20,2717
10/21/20,2778
10/20/20,2764
10/19/20,2930
10/18/20,2254
10/17/20,2337
10/16/20,2570
10/15/20,2495
10/14/20,2483
10/13/20,2527
10/12/20,2279
10/11/20,1913
10/10/20,2095
10/9/20,2216
10/8/20,2156
10/7/20,2247
10/6/20,2214
10/5/20,2377
10/4/20,1902
10/3/20,1820
10/2/20,2092
10/1/20,2103
9/30/20,2213
9/29/20,2237
9/28/20,2389
9/27/20,1935
9/26/20,1831
9/25/20,2024
9/24/20,1864
9/23/20,1845
9/22/20,1825
9/21/20,1823
9/20/20,1339
9/19/20,1272
9/18/20,1390
9/17/20,1247
9/16/20,1344
9/15/20,1308
9/14/20,1232
9/13/20,964
9/12/20,962
9/11/20,902
9/10/20,924
9/9/20,970
9/8/20,940
9/7/20,772
9/6/20,669
9/5/20,639
9/4/20,698
9/3/20,613
9/2/20,681
9/1/20,713
8/31/20,621
8/30/20,524
8/29/20,427
8/28/20,537
8/27/20,446
8/26/20,534
8/25/20,577
8/24/20,533
8/23/20,384
8/22/20,402
8/21/20,396
8/20/20,425
8/19/20,432
8/18/20,408
8/17/20,483
8/16/20,373
8/15/20,351
8/14/20,339
8/13/20,399
8/12/20,363
8/11/20,450
8/10/20,429
8/9/20,306
8/8/20,310
8/7/20,368
8/6/20,340
8/5/20,369
8/4/20,404
8/3/20,427
8/2/20,324
8/1/20,319
7/31/20,327
7/30/20,319
7/29/20,381
7/28/20,384
7/27/20,472
7/26/20,336
7/25/20,308
7/24/20,409
7/23/20,423
7/22/20,437
7/21/20,483
7/20/20,550
7/19/20,375
7/18/20,402
7/17/20,489
7/16/20,454
7/15/20,553
7/14/20,536
7/13/20,599
7/12/20,388
7/11/20,382
7/10/20,396
7/9/20,412
7/8/20,427
7/7/20,426
7/6/20,470
7/5/20,277
7/4/20,297
7/3/20,288
7/2/20,259
7/1/20,278
6/30/20,296
6/29/20,317
6/28/20,289
6/27/20,274
6/26/20,255
6/25/20,389
6/24/20,277
6/23/20,311
6/22/20,336
6/21/20,279
6/20/20,277
6/19/20,332
6/18/20,316
6/17/20,348
6/16/20,354
6/15/20,389
6/14/20,307
6/13/20,280
6/12/20,375
6/11/20,360
6/10/20,413
6/9/20,363
6/8/20,387
6/7/20,333
6/6/20,385
6/5/20,446
6/4/20,443
6/3/20,512
6/2/20,498
6/1/20,623
5/31/20,488
5/30/20,553
5/29/20,678
5/28/20,581
5/27/20,696
5/26/20,718
5/25/20,837
5/24/20,644
5/23/20,714
5/22/20,857
5/21/20,865
5/20/20,1103
5/19/20,938
5/18/20,1072
5/17/20,921
5/16/20,988
5/15/20,1278
5/14/20,1168
5/13/20,1095
5/12/20,1092
5/11/20,1211
5/10/20,985
5/9/20,1038
5/8/20,1152
5/7/20,1120
5/6/20,1094
5/5/20,1256
5/4/20,1328
5/3/20,1051
5/2/20,1082
5/1/20,1606
4/30/20,1427
4/29/20,1490
4/28/20,1528
4/27/20,1666
4/26/20,1347
4/25/20,1414
4/24/20,1517
4/23/20,1573
4/22/20,1520
4/21/20,1450
4/20/20,1784
4/19/20,1286
4/18/20,1653
4/17/20,1824
4/16/20,1920
4/15/20,1845
4/14/20,1764
4/13/20,2044
4/12/20,1475
4/11/20,1613
4/10/20,1733
4/9/20,1463
4/8/20,1423
4/7/20,1300
4/6/20,1412
4/5/20,1074
4/4/20,1159
4/3/20,1338
4/2/20,1168
4/1/20,1285
3/31/20,971
3/30/20,1152
3/29/20,867
3/28/20,966
3/27/20,958
3/26/20,921
3/25/20,982
3/24/20,953
3/23/20,1073
3/22/20,872
3/21/20,881
3/20/20,1039
3/19/20,803
3/18/20,956
3/17/20,882
3/16/20,831
3/15/20,602
3/14/20,470
3/13/20,460
3/12/20,390
3/11/20,301
3/10/20,262
3/9/20,220
3/8/20,134
3/7/20,89
3/6/20,83
3/5/20,65
3/4/20,53
3/3/20,52
3/2/20,49
3/1/20,54
2/29/20,27
2/28/20,35
2/27/20,25
2/26/20,12
2/25/20,16
2/24/20,15
2/23/20,19
2/22/20,7
2/21/20,2
2/20/20,8
2/19/20,3
2/18/20,2
2/17/20,2
2/16/20,1
2/15/20,2
2/14/20,4
2/13/20,1
2/12/20,5
2/11/20,1
2/10/20,2
2/9/20,2
2/8/20,1
2/7/20,1
2/6/20,0
2/5/20,2
2/4/20,2
2/3/20,1
2/2/20,3
2/1/20,4
1/31/20,2
1/30/20,0
1/29/20,0
1/28/20,2
1/27/20,2
1/26/20,1
1/25/20,0
1/24/20,2
1/23/20,0
1/22/20,2
1/21/20,1
1/20/20,0
1/19/20,0
1/18/20,0
1/17/20,0
1/16/20,2
1/15/20,1
