Response,Share of respondents
Ticket price is too high,53%
Movie genre/themes/titles not as interesting,41%
Prefer to watch movies on my own schedule,30%
Prefer to spend my money on other recreational activities,29%
Can see movies at home (in demand) shortly after they are released in theaters,24%
Prefer to spend my money on going out to dinner,19%
Don't have same disposable income as I did in previous 12 months,18%
Decline in overall theater experience,16%
Online pay content/series is just as entertaining,13%
"Too many people using phones, tablets or other technology",10%
