Year,GDP per capita in U.S. dollars
2025,748.47
2024,718.44
2023,686.75
2022,628.74
2021,567.4
2020,535.83
2019,553.92
2018,572.69
2017,517.79
2016,497.97
2015,484.22
2014,428.44
2013,462.03
2012,431.37
2011,410.74
2010,378.21
2009,368.28
2008,382.36
2007,312.75
2006,275.51
2005,263.79
2004,237.22
2003,223.46
2002,180.83
2001,164.09
2000,159.23
1999,188.22
1998,200.63
1997,181.69
1996,204.03
1995,197.22
1994,181.67
1993,267.09
1992,291.83
1991,299.57
1990,329.65
1989,298.89
1988,322.59
1987,325.89
1986,286.75
1985,223.99
