Response,Share of respondents
Sexual harassment,45%
Physical violence,41%
Sexual violence,40%
Equal pay,20%
Sexualization of women and girls in the media,17%
Domestic abuse,14%
Workplace discrimination,11%
"The amount of unpaid work that women do (e.g. cooking, cleaning, childcare)",11%
Balancing work and caring responsibilities,11%
Gender stereotyping,10%
Abuse on social media,7%
Access to employment,7%
Lack financial/ economic independence,6%
Lack of women in leadership roles in business and public life,5%
Support for pregnant women and new mothers,3%
