Country,Revenue in thousand U.S. dollars
South Korea,72950.12
Japan,22671.55
France,13882.99
United Kingdom,6644.14
Mexico,6401.86
Germany,5445.88
Spain,4965.12
Vietnam,2869.86
Netherlands,2607.86
Australia,2552.69
Brazil,2485.26
Italy,2175.21
Hong Kong,1725.77
Russia/CIS,1592.31
Russia,1421.54
Poland,1409.11
Norway,1047.58
Turkey,657.86
Argentina,465.47
Portugal,419.0
Czech Republic,249.55
Hungary,148.64
Ukraine,144.71
New Zealand,134.98
Croatia,118.42
Uruguay,80.96
Peru,79.73
United Arab Emirates,77.89
Iceland,64.35
Slovakia,52.23
Slovenia,50.2
Paraguay,25.59
Romania,20.09
