Year,GDP per capita in U.S. dollars
2025*,1526.58
2024*,1435.18
2023*,1349.09
2022*,1260.14
2021*,1165.82
2020*,1115.56
2019*,1078.56
2018,1033.91
2017,911.44
2016,777.15
2015,792.55
2014,743.1
2013,688.58
2012,681.79
2011,695.69
2010,592.15
2009,480.72
2008,473.84
2007,393.85
2006,348.63
2005,319.03
2004,287.4
2003,253.62
2002,243.26
2001,243.81
2000,241.38
1999,231.85
1998,229.85
1997,235.99
1996,221.92
1995,220.4
1994,208.15
1993,204.63
1992,195.82
1991,221.43
1990,207.7
1989,206.87
1988,209.44
1987,181.61
1986,178.96
1985,168.17
