Year,GDP per capita in U.S. dollars
2025*,19404.41
2024*,18255.48
2023*,17054.87
2022*,15807.09
2021*,14193.98
2020*,12464.37
2019*,15504.71
2018*,14552.21
2017*,13150.46
2016*,12348.71
2015*,11781.03
2014,10787.47
2013,9766.15
2012,8719.53
2011,8078.26
2010,8086.67
2009,7450.78
2008,7337.93
2007,6128.46
2006,5268.78
2005,3960.43
2004,4238.04
2003,3690.79
2002,2952.22
2001,2780.45
2000,2967.25
1999,2842.66
1998,2658.8
1997,2553.95
1996,2107.61
1995,1903.13
1994,1591.14
1993,1479.45
1992,1343.01
1991,1184.66
1990,1091.55
1989,987.81
1988,897.93
1987,769.82
1986,835.64
1985,737.78
