Response,Share of respondents
Lack of real-time customer insights,31%
Operationalizing the CX,28%
Finding the budget for CX,25%
Legacy technology not being able to adjust,22%
Difficulty in measuring CX,20%
Lack of CX skills / knowledge,19%
Convincing areas of the business the importance of CX,18%
Demonstrating RoI for CX,18%
Personalization,18%
Siloed approach to managing customer experience,18%
Regularly needing to update / upgrade technology,17%
No owner or champion for CX within organizations,16%
Lack of central CX strategy,15%
There are currently no CX challenges,13%
