Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",11.53
"Educational services, health care, and social assistance",8.03
Government and government enterprises,7.69
Professional and business services,6.83
Manufacturing,5.76
Retail trade,5.14
Wholesale trade,3.19
"Arts, entertainment, recreation, accommodation, and food services",3.08
Construction,1.86
Information,1.41
Transportation and warehousing,1.21
"Agriculture, forestry, fishing, and hunting",0.98
Utilities,0.95
"Mining, quarrying, and oil and gas extraction",0.03
