Year,MERVAL in Argentine pesos
10/15/2020,48239.27
10/14/2020,47295.27
10/13/2020,45994.73
10/9/2020,45856.11
10/8/2020,45482.18
10/7/2020,44739.86
10/6/2020,44438.41
10/5/2020,44273.21
10/2/2020,43654.37
10/1/2020,42916.19
9/30/2020,41260.86
9/29/2020,42196.88
9/28/2020,42077.91
9/25/2020,42042.45
9/24/2020,41875.66
9/23/2020,40974.05
9/22/2020,40944.49
9/21/2020,40745.13
9/18/2020,41484.06
9/17/2020,39799.89
9/16/2020,42167.86
9/15/2020,44628.42
9/14/2020,44614.08
9/11/2020,45839.99
9/10/2020,46868.47
9/9/2020,46520.19
9/8/2020,45481.76
9/7/2020,45691.04
9/4/2020,45075.06
9/3/2020,44800.06
9/2/2020,44877.5
9/1/2020,46545.52
8/31/2020,46835.42
8/28/2020,46396.58
8/27/2020,44254.91
8/26/2020,45831.7
8/25/2020,46579.29
8/24/2020,46736.74
8/21/2020,47411.28
8/20/2020,47737.16
8/19/2020,47471.6
8/18/2020,46491.42
8/14/2020,48547.91
8/13/2020,49626.79
8/12/2020,48970.53
8/11/2020,50998.5
8/10/2020,52180.9
8/7/2020,52325.83
8/6/2020,51083.76
8/5/2020,50994.43
8/4/2020,52186.3
8/3/2020,52504.21
7/31/2020,49253.62
7/30/2020,49405.75
7/29/2020,48884.46
7/28/2020,48934.44
7/27/2020,49449.86
7/24/2020,48605.06
7/23/2020,48408.27
7/22/2020,48634.09
7/21/2020,46781.26
7/20/2020,45682.99
7/17/2020,45475.24
7/16/2020,45245.23
7/15/2020,45120.59
7/14/2020,44001.9
7/13/2020,43237.01
7/8/2020,42747.55
7/7/2020,42497.6
7/6/2020,43339.69
7/3/2020,39758.2
7/2/2020,39500.85
7/1/2020,39846.74
6/30/2020,38686.69
6/29/2020,40308.11
6/26/2020,40589.89
6/25/2020,41996.65
6/24/2020,40435.34
6/23/2020,40803.56
6/22/2020,40344.32
6/19/2020,40951.45
6/18/2020,37990.59
6/17/2020,40471.15
6/16/2020,42686.08
6/12/2020,43417.15
6/11/2020,43057.94
6/10/2020,46476.07
6/9/2020,46471.06
6/8/2020,48881.18
6/5/2020,45128.75
6/4/2020,43676.18
6/3/2020,43853.06
6/2/2020,42037.56
6/1/2020,40016.98
5/29/2020,37824.73
5/28/2020,38985.82
5/27/2020,40431.57
5/26/2020,41060.27
5/22/2020,40962.74
5/21/2020,41388.5
5/20/2020,39809.16
5/19/2020,39388.72
5/18/2020,40286.72
5/15/2020,39388.33
5/14/2020,39225.67
5/13/2020,37842.81
5/12/2020,39133.71
5/11/2020,38581.6
5/8/2020,36183.9
5/7/2020,35850.21
5/6/2020,34158.89
5/5/2020,33546.52
5/4/2020,32387.28
4/30/2020,32742.84
4/29/2020,33185.05
4/28/2020,33064.84
4/27/2020,29986.23
4/24/2020,29258.1
4/23/2020,30378.94
4/22/2020,30554.88
4/21/2020,30237.08
4/20/2020,30535.73
4/17/2020,29883.27
4/16/2020,30077.72
4/15/2020,32070.67
4/14/2020,30781.55
4/13/2020,28880.64
4/8/2020,28017.59
4/7/2020,26696.1
4/6/2020,26922.59
4/3/2020,26505.41
4/2/2020,26003.28
4/1/2020,25324.28
3/30/2020,24384.24
3/27/2020,24058.6
3/26/2020,25483.94
3/25/2020,26338.03
3/20/2020,23890.35
3/19/2020,22656.43
3/18/2020,22087.13
3/17/2020,25823.47
3/16/2020,25697.51
3/13/2020,28447.97
3/12/2020,28351.89
3/11/2020,31419.6
3/10/2020,32832.26
3/9/2020,30379.9
3/6/2020,35222.43
3/5/2020,36772.2
3/4/2020,37243.36
3/3/2020,35999.22
3/2/2020,36253.25
2/28/2020,34973.18
2/27/2020,35387.05
2/26/2020,36422.24
2/21/2020,38602.48
2/20/2020,38961.41
2/19/2020,38390.84
2/18/2020,38156.95
2/17/2020,39200.25
2/14/2020,38647.68
2/13/2020,38669.46
2/12/2020,39936.15
2/11/2020,39824.5
2/10/2020,41052.95
2/7/2020,41213.89
2/6/2020,40906.09
2/5/2020,40767.1
2/4/2020,41033.79
2/3/2020,41577.06
1/31/2020,40105.04
1/30/2020,40394.95
1/29/2020,40341.42
1/28/2020,40829.7
1/27/2020,39604.57
1/24/2020,39917.82
1/23/2020,41140.21
1/22/2020,42002.34
1/21/2020,41485.86
1/20/2020,43054.01
1/17/2020,42339.82
1/16/2020,42362.34
1/15/2020,41246.19
1/14/2020,41633.73
1/13/2020,42017.78
1/10/2020,42740.38
1/9/2020,42035.7
1/8/2020,41016.02
1/7/2020,41115.71
1/6/2020,41469.66
1/3/2020,40499.15
1/2/2020,41106.97
