Year,Inflation rate compared to previous year
2025*,3%
2024*,3%
2023*,3.49%
2022*,5.92%
2021*,8%
2020*,7.87%
2019,8.36%
2018,8.27%
2017,5.69%
2016,5.43%
2015,5.26%
2014,6.99%
2013,8.11%
2012,10.64%
2011,14.32%
2010,13.34%
2009,16.96%
2008,32%
2007,18.55%
2006,23.08%
2005,17.15%
2004,13.29%
2003,9.79%
2002,10.13%
2001,9.22%
2000,11%
1999,11.01%
1998,42.11%
1997,69.05%
1996,42.05%
1995,36.8%
1994,51.16%
1993,25.5%
1992,33.7%
1991,46.48%
1990,42.25%
1989,42.89%
1988,44.28%
1987,25%
1986,13.9%
1985,0.1%
