Month,Cumulative number of performed tests
Dec 20,6606666
Dec 19,6606065
Dec 18,6574347
Dec 17,6487206
Dec 16,6485818
Dec 15,6436374
Dec 14,6383615
Dec 13,6352258
Dec 12,6336536
Dec 11,6299033
Dec 10,6261030
Dec 9,6219547
Dec 8,6173667
Dec 7,6147077
Dec 6,6105524
Dec 5,6105191
Dec 4,6081132
Dec 3,6045930
Dec 2,6011904
Dec 1,5975439
Nov 30,5931234
Nov 29,5907481
Nov 28,5895952
Nov 27,5870957
Nov 26,5838117
Nov 25,5804653
Nov 24,5767557
Nov 23,5719938
Nov 22,5687407
Nov 21,5687229
Nov 20,5666573
Nov 19,5633233
Nov 18,5598436
Nov 17,5562417
Nov 16,5521488
Nov 15,5508051
Nov 14,5481911
Nov 13,5459867
Nov 12,5423372
Nov 11,5395590
Nov 10,5356710
Nov 9,5319529
Nov 8,5298033
Nov 7,5284749
Nov 6,5250349
Nov 5,5212905
Nov 4,5126695
Nov 3,5068561
Nov 2,5041257
Nov 1,5038017
Oct 31,5014066
Oct 30,4959928
Oct 29,4894595
Oct 28,4823169
Oct 27,4745513
Oct 26,4674229
Oct 25,4624346
Oct 24,4584917
Oct 23,4519821
Oct 22,4451429
Oct 21,4371927
Oct 20,4291650
Oct 19,4213612
Oct 18,4157768
Oct 17,4113101
Oct 16,4051357
Oct 15,3983078
Oct 14,3917087
Oct 13,3844262
Oct 12,3784750
Oct 11,3740242
Oct 10,3709885
Oct 9,3662408
Oct 8,3608849
Oct 7,3558995
Oct 6,3504551
Oct 5,3458733
Oct 4,3431361
Oct 3,3413404
Oct 2,3377647
Oct 1,3336859
Sep 30,3295375
Sep 29,3249225
Sep 28,3201431
Sep 27,3173150
Sep 26,3152846
Sep 25,3119436
Sep 24,3082037
Sep 23,3041628
Sep 22,2997200
Sep 21,2952154
Sep 20,2916985
Sep 19,2894782
Sep 18,2868322
Sep 17,2826852
Sep 16,2783627
Sep 15,2736948
Sep 14,2694641
Sep 13,2665332
Sep 12,2599453
Sep 11,2566088
Sep 10,2532095
Sep 9,2498724
Sep 8,2466280
Sep 7,2449055
Sep 6,2419095
Sep 5,2415673
Sep 4,2390994
Sep 3,2364713
Sep 2,2336975
Sep 1,2292487
Aug 31,2289784
Aug 30,2278713
Aug 29,2261043
Aug 28,2234172
Aug 27,2211804
Aug 26,2189246
Aug 25,2162690
Aug 24,2144563
Aug 23,2135402
Aug 22,2119749
Aug 21,2099750
Aug 20,2074445
Aug 19,2049976
Aug 18,2023900
Aug 17,2008070
Aug 16,1999543
Aug 15,1983514
Aug 14,1962386
Aug 13,1924348
Aug 12,1912240
Aug 11,1888690
Aug 10,1872714
Aug 9,1859218
Aug 8,1840529
Aug 7,1819137
Aug 6,1791554
Aug 5,1767120
Aug 4,1743265
Aug 3,1728283
Aug 2,1703059
Aug 1,1694349
Jul 31,1670785
Jul 30,1644394
Jul 29,1618788
Jul 28,1588423
Jul 27,1575452
Jul 26,1562934
Jul 25,1548472
Jul 24,1531766
Jul 23,1514046
Jul 22,1501396
Jul 21,1484430
Jul 20,1474305
Jul 17,1444885
Jul 16,1429053
Jul 15,1412925
Jul 14,1398080
Jul 13,1390593
Jul 10,1361830
Jul 9,1349831
Jul 8,1335704
Jul 7,1322052
Jul 6,1313064
Jul 3,1284605
Jul 2,1270677
Jul 1,1251345
Jun 30,1239232
Jun 29,1226238
Jun 26,1191959
Jun 25,1178721
Jun 24,1161971
Jun 23,1145258
Jun 22,1131883
Jun 19,1087369
Jun 18,1071939
Jun 17,1056075
Jun 16,1045014
Jun 15,1036321
Jun 14,1024302
Jun 13,1010059
Jun 12,996785
Jun 11,983670
Jun 10,969619
Jun 9,958513
Jun 8,949675
May 17,696840
May 16,663775
May 15,645314
May 14,623628
May 13,605337
May 12,595631
May 11,584807
May 10,566101
May 9,540643
May 8,515233
May 7,493325
May 6,474176
May 5,456194
May 4,440700
May 3,423971
May 2,399584
May 1,374197
Apr 30,345047
