State,Number of stores
California,174
Texas,115
New York,98
Florida,96
New Jersey,92
Illionois,47
Virginia,47
Ohio,45
North Carolina,44
Massachusetts,44
Michigan,42
Georgia,39
Pennsylvania,39
Arizona,38
Washington,36
Colorado,34
Tennessee,26
Connecticut,25
Alabama,23
South Carolina,23
Missouri,22
Indiana,22
Maryland,22
Louisiana,20
Oregon,17
Nevada,15
New Hampshire,15
Minnesota,14
Utah,14
Wisconsin,14
Kansas,12
Kentucky,11
Oklahoma,11
New Mexico,9
Montana,9
Iowa,9
Idaho,9
Nebraska,8
Maine,8
Arkansas,8
Mississippi,7
Delaware,6
Rhode Island,5
South Dakota,3
Vermont,3
West Virginia,3
North Dakota,3
Wyoming,2
Hawaii,1
Alaska,1
