Year,GDP per capita in U.S. dollars
2025*,1994.37
2024*,1901.72
2023*,1811.66
2022*,1732.48
2021*,1657.08
2020*,1493.12
2019*,1523.66
2018*,1555.67
2017*,1441.55
2016*,1377.85
2015*,1338.6
2014*,1552.47
2013*,1471.21
2012 *,1357.15
2011 *,1402.98
2010,1282.37
2009,1309.59
2008,1367.9
2007,1187.89
2006,1056.32
2005,1007.39
2004,1004.87
2003,862.27
2002,705.62
2001,649.52
2000,630.7
1999,707.44
1998,713.69
1997,734.6
1996,746.87
1995,688.96
1994,746.71
1993,1130.16
1992,1115.89
1991,1254.63
1990,1159.86
1989,1194.71
1988,1380.51
1987,1399.29
1986,1242.48
1985,979.48
