Month,Price in GBP per kilogram
Nov '19,0.7
Oct '19,0.85
Sep '19,1.34
Aug '19,1.22
Jul '19,1.1
Jun '19,0.97
May '19,0.88
Apr '19,1.23
Dec '18,0.93
Nov '18,0.72
Oct '18,1.11
Sep '18,1.51
Aug '18,0.75
Jul '18,0.85
Jun '18,0.82
May '18,1.11
Apr '18,1.18
Dec '17,0.69
Nov '17,0.88
Oct '17,1.23
Sep '17,1.05
Aug '17,0.8
Jul '17,0.93
Jun '17,0.88
May '17,0.99
Apr '17,1.55
Mar '17,2.51
Dec '16,1.0
Nov '16,0.71
Oct '16,0.87
Sep '16,0.93
Aug '16,0.91
Jul '16,0.8
Jun '16,0.78
May '16,0.83
Apr '16,1.27
Mar '16,2.33
Nov '15,0.77
Oct '15,1.1
Sep '15,1.09
Aug '15,0.7
Jul '15,0.69
Jun '15,0.75
May '15,0.88
Apr '15,1.13
Mar '15,1.1
